Date,Price(USD),Price(THB)
1979-01-01,233.7,4511.3
1979-02-01,251.3,4985.7
1979-03-01,240.1,4812.9
1979-04-01,245.3,4891.0
1979-05-01,274.6,5560.8
1979-06-01,277.5,5477.3
1979-07-01,296.5,6147.7
1979-08-01,315.1,6424.5
1979-09-01,397.3,7894.9
1979-10-01,382.0,7808.0
1979-11-01,415.7,8260.5
1979-12-01,512.0,10645.2
1980-01-01,653.0,13763.8
1980-02-01,637.0,13036.5
1980-03-01,494.5,10312.8
1980-04-01,518.0,10712.7
1980-05-01,535.5,10526.0
1980-06-01,653.5,13466.5
1980-07-01,614.3,12792.6
1980-08-01,631.3,12745.4
1980-09-01,666.8,13638.5
1980-10-01,629.0,12999.3
1980-11-01,619.8,12677.8
1980-12-01,589.8,12026.7
1981-01-01,506.5,10623.8
1981-02-01,489.0,10333.1
1981-03-01,513.8,10481.0
1981-04-01,482.8,9999.8
1981-05-01,479.3,9967.1
1981-06-01,426.0,8820.8
1981-07-01,406.0,9395.6
1981-08-01,425.0,9711.3
1981-09-01,428.8,9593.3
1981-10-01,427.0,9516.4
1981-11-01,414.5,9542.7
1981-12-01,397.5,9089.6
1982-01-01,387.0,8746.4
1982-02-01,362.6,8442.4
1982-03-01,320.0,7365.0
1982-04-01,361.3,8080.4
1982-05-01,325.3,7471.7
1982-06-01,317.5,7086.8
1982-07-01,342.9,7981.2
1982-08-01,411.5,9487.4
1982-09-01,397.0,9061.0
1982-10-01,423.3,9688.1
1982-11-01,436.0,9706.0
1982-12-01,456.9,10240.0
1983-01-01,499.5,11532.6
1983-02-01,408.5,9612.9
1983-03-01,414.8,9437.1
1983-04-01,429.3,9808.4
1983-05-01,437.5,9997.5
1983-06-01,416.0,9614.1
1983-07-01,422.0,9741.9
1983-08-01,414.3,9530.2
1983-09-01,405.0,9310.6
1983-10-01,382.0,8782.9
1983-11-01,405.0,9262.5
1983-12-01,382.4,8699.7
1984-01-01,373.8,8557.8
1984-02-01,394.3,8940.5
1984-03-01,388.5,8914.6
1984-04-01,375.8,8608.1
1984-05-01,384.3,8805.3
1984-06-01,373.1,8527.4
1984-07-01,342.4,7811.7
1984-08-01,348.3,7963.8
1984-09-01,343.8,8029.9
1984-10-01,333.5,7588.6
1984-11-01,329.0,8777.3
1984-12-01,308.3,8219.4
1985-01-01,306.7,8114.5
1985-02-01,287.8,8002.2
1985-03-01,329.3,8514.8
1985-04-01,321.4,8751.8
1985-05-01,314.0,8372.0
1985-06-01,317.8,8513.8
1985-07-01,327.5,8775.2
1985-08-01,333.3,8839.6
1985-09-01,325.8,8369.2
1985-10-01,325.1,8482.8
1985-11-01,325.3,8228.1
1985-12-01,326.8,8614.4
1986-01-01,350.5,8994.4
1986-02-01,338.2,8862.6
1986-03-01,344.0,8947.7
1986-04-01,345.8,8916.8
1986-05-01,343.2,9089.9
1986-06-01,346.8,9050.6
1986-07-01,357.5,9119.0
1986-08-01,384.7,10042.2
1986-09-01,423.2,10851.8
1986-10-01,401.0,10485.1
1986-11-01,389.5,9971.9
1986-12-01,388.8,9953.8
1987-01-01,400.5,10405.0
1987-02-01,405.9,10285.9
1987-03-01,421.0,10820.1
1987-04-01,453.3,11532.6
1987-05-01,451.0,11759.2
1987-06-01,447.3,11504.8
1987-07-01,462.5,11995.9
1987-08-01,453.4,11560.5
1987-09-01,459.5,11669.8
1987-10-01,468.8,11721.5
1987-11-01,492.5,12272.1
1987-12-01,484.1,11789.2
1988-01-01,458.0,11828.4
1988-02-01,426.2,10643.5
1988-03-01,457.0,11616.1
1988-04-01,449.0,11228.0
1988-05-01,455.5,11502.6
1988-06-01,436.6,11117.0
1988-07-01,436.8,11143.5
1988-08-01,427.8,10922.4
1988-09-01,396.7,10202.8
1988-10-01,412.4,10377.1
1988-11-01,422.6,10573.6
1988-12-01,410.3,10261.9
1989-01-01,394.0,10002.5
1989-02-01,387.0,9794.2
1989-03-01,383.2,9713.5
1989-04-01,377.6,9599.6
1989-05-01,361.8,9318.2
1989-06-01,373.0,9644.1
1989-07-01,368.3,9337.3
1989-08-01,359.8,9318.0
1989-09-01,366.5,9463.2
1989-10-01,375.3,9691.7
1989-11-01,408.2,10483.4
1989-12-01,398.6,10036.1
1990-01-01,415.1,10623.3
1990-02-01,407.7,10494.1
1990-03-01,368.5,9506.1
1990-04-01,367.8,9510.6
1990-05-01,363.1,9352.3
1990-06-01,352.2,9085.1
1990-07-01,372.3,9487.6
1990-08-01,387.8,9844.9
1990-09-01,408.4,10321.7
1990-10-01,379.5,9507.0
1990-11-01,384.9,9642.3
1990-12-01,386.2,9633.2
1991-01-01,366.0,9167.7
1991-02-01,362.7,9141.1
1991-03-01,355.7,9121.3
1991-04-01,357.8,9147.1
1991-05-01,360.4,9212.6
1991-06-01,368.4,9469.3
1991-07-01,362.9,9313.5
1991-08-01,347.4,8958.8
1991-09-01,354.9,9039.5
1991-10-01,357.5,9097.8
1991-11-01,366.3,9297.6
1991-12-01,353.2,8922.8
1992-01-01,354.1,9010.8
1992-02-01,353.1,8995.3
1992-03-01,341.7,8732.0
1992-04-01,336.4,8595.9
1992-05-01,337.5,8589.7
1992-06-01,343.4,8678.8
1992-07-01,357.9,9043.2
1992-08-01,340.0,8581.0
1992-09-01,349.0,8735.3
1992-10-01,339.3,8598.0
1992-11-01,334.2,8534.4
1992-12-01,332.9,8436.2
1993-01-01,330.5,8426.8
1993-02-01,327.6,8356.9
1993-03-01,337.8,8555.5
1993-04-01,354.3,8930.9
1993-05-01,377.5,9447.1
1993-06-01,378.5,9578.4
1993-07-01,401.8,10112.7
1993-08-01,371.6,9364.3
1993-09-01,355.5,9054.5
1993-10-01,369.6,9368.7
1993-11-01,370.9,9419.3
1993-12-01,391.8,9977.9
1994-01-01,377.9,9617.9
1994-02-01,381.6,9660.9
